"","C.Acidobacteria.01","Iamia.01","F.Acidimicrobiales.01","Actinomyces.01","F.Actinomycetaceae.01","F.Actinomycetaceae.02","Actinopolyspora.01","Alloscardovia.01","Bifidobacterium.01","Corynebacterium.01","Corynebacterium.02","F.Corynebacteriaceae.01","F.Corynebacteriaceae.02","Mycobacterium.01","Gordonia.01","O.Corynebacteriales.01","Blastococcus.01","F.Sporichthyaceae.01","Quadrisphaera.01","Brachybacterium.01","Yimella.01","Aquipuribacter.01","Janibacter.01","F.Intrasporangiaceae.01","Frigoribacterium.01","Microbacterium.01","Arthrobacter.01","Kocuria.01","Micrococcus.01","Nesterenkonia.01","Rothia.01","Sanguibacter.01","O.Micrococcales.01","Nocardioides.01","Friedmanniella.01","Microlunatus.01","Propionibacterium.01","Propioniciclava.01","F.Propionibacteriaceae.01","F.Propionibacteriaceae.02","Pseudonocardia.01","Streptomyces.01","Nocardiopsis.01","C.Actinobacteria.01","Atopobium.01","Eggerthella.01","Olsenella.01","Slackia.01","F.Coriobacteriaceae.01","O.Gaiellales.01","P.Actinobacteria.01","Porphyromonas.01","Tannerella.01","F.Porphyromonadaceae.01","Alloprevotella.01","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","F.Prevotellaceae.01","RikenellaceaeRC9gutgroup.01","O.Bacteroidales.01","Hymenobacter.01","Nibribacter.01","Pontibacter.01","Salinibacter.01","Bergeyella.01","Capnocytophaga.01","Chryseobacterium.01","Cloacibacterium.01","Flavobacterium.01","F.Flavobacteriaceae.01","F.NS11-12marinegroup.01","Pedobacter.01","F.WCHB1-69.01","P.Bacteroidetes.01","Camelinasativa.01","C.Chloroplast.01","C.Chloroplast.02","Pleurocapsa.01","Deinococcus.01","Bacillus.01","Oceanobacillus.01","Salimicrobium.01","Gemella.01","Exiguobacterium.01","Planococcus.01","Planomicrobium.01","F.Planococcaceae.01","Aliicoccus.01","Jeotgalicoccus.01","Salinicoccus.01","Staphylococcus.01","Planifilum.01","Shimazuella.01","O.Bacillales.01","Abiotrophia.01","Aerosphaera.01","Alloiococcus.01","Atopostipes.01","Carnobacterium.01","Dolosigranulum.01","Granulicatella.01","F.Carnobacteriaceae.01","Enterococcus.01","Lactobacillus.01","Fructobacillus.01","Streptococcus.01","O.Lactobacillales.01","O.RS-F29.01","C.Bacilli.01","Clostridiumsensustricto.01","Proteiniclasticum.01","F.ClostridialesvadinBB60group.01","Anaerococcus.01","Finegoldia.01","Parvimonas.01","Peptoniphilus.01","FamilyXIIIUCG-001.01","Mogibacterium.01","[Eubacterium]brachygroup.01","[Eubacterium]nodatumgroup.01","F.FamilyXIII.01","F.FamilyXIII.02","Anaerostipes.01","Blautia.01","Butyrivibrio.01","Catonella.01","Dorea.01","Fusicatenibacter.01","Johnsonella.01","Lachnoanaerobaculum.01","Lachnospira.01","LachnospiraceaeNK4A136group.01","LachnospiraceaeUCG-008.01","Oribacterium.01","Pseudobutyrivibrio.01","Roseburia.01","Stomatobaculum.01","[Eubacterium]halliigroup.01","[Eubacterium]ventriosumgroup.01","[Ruminococcus]gauvreauiigroup.01","F.Lachnospiraceae.01","F.Lachnospiraceae.02","Peptococcus.01","Filifactor.01","Peptoclostridium.01","Peptostreptococcus.01","F.Peptostreptococcaceae.01","Faecalibacterium.01","Ruminiclostridium.01","Ruminococcaceae.01","Ruminococcaceae.02","Ruminococcus.01","Subdoligranulum.01","F.Ruminococcaceae.01","O.Clostridiales.01","F.Thermoanaerobacteraceae.01","Bulleidia.01","ErysipelotrichaceaeUCG-006.01","Solobacterium.01","Phascolarctobacterium.01","Anaerovibrio.01","Centipeda.01","Dialister.01","Megasphaera.01","Selenomonas.01","Selenomonas.02","Veillonella.01","F.Veillonellaceae.01","F.Veillonellaceae.02","P.Firmicutes.01","Fusobacterium.01","Leptotrichia.01","O.Fusobacteriales.01","Brevundimonas.01","Caulobacter.01","Phenylobacterium.01","F.Caulobacteraceae.01","O.OCS116clade.01","Aureimonas.01","Bosea.01","Bradyrhizobium.01","Devosia.01","Methylobacterium.01","Mesorhizobium.01","F.Phyllobacteriaceae.01","Rhizobium.01","O.Rhizobiales.01","Paracocccus.01","Rubellimicrobium.01","Stappia.01","F.Rhodobacteraceae.01","Achromobacter.01","Alcaligenes.01","F.Alcaligenaceae.01","Burkholderia.01","Lautropia.01","Ralstonia.01","F.Burkholderiaceae.01","Acidovorax.01","Comamonas.01","Delftia.01","Hydrogenophaga.01","Ottowia.01","Pelomonas.01","Roseateles.01","Schlegelella.01","Tepidimonas.01","Variovorax.01","F.Comamonadaceae.01","Massilia.01","F.Oxalobacteraceae.01","O.Burkholderiales.01","F.Methylophilaceae.01","Kingella.01","Neisseria.01","F.Neisseriaceae.01","F.Neisseriaceae.02","Propionivibrio.01","C.Betaproteobacteria.01","Bdellovibrio.01","Aeromonas.01","Cardiobacterium.01","Cellvibrio.01","Enterobacter.01","Escherichia-Shigella.01","Proteus.01","F.Enterobacteriaceae.01","Alcanivorax.01","Halomonas.01","O.Oceanospirillales.01","Actinobacillus.01","Aggregatibacter.01","Haemophilus.01","Acinetobacter.01","Alkanindiges.01","Moraxella.01","Psychrobacter.01","Pseudomonas.01","O.Pseudomonadales.01","Lysobacter.01","Silanimonas.01","Stenotrophomonas.01","Thermomonas.01","F.Xanthomonadaceae.01","C.Gammaproteobacteria.01","P.Proteobacteria.01","CandidatusSaccharimonas.01","P.Saccharibacteria.01","Treponema2.01","Fretibacterium.01","Mycoplasma.01","Akkermansia.01","K.Bacteria.01","Unassigned"
"zr1429.29",0,0,0,2911,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,18536,0,0,53,0,0,9467,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,1178,0,7040,7617,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,28,0,0,0,0,0,0,803,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0
"zr1429.30",0,0,0,4076,0,0,0,0,0,1,712,32,0,0,0,3,0,0,0,0,0,0,0,0,0,36,0,0,0,0,54,0,0,0,0,0,6673,0,0,0,0,0,0,2,27,0,0,4,0,0,0,2,0,0,96,103,0,8,388,138,0,162,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,10000,3240,0,1407,0,0,0,0,0,5196,197,0,1192,1585,16,0,0,0,0,0,254,0,0,0,0,0,0,3,865,0,0,417,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,130,214,0,276,0,0,0,29,2,0,5,1004,0,0,0,133,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,41,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,1,172,0,3,0,13,0,0,0,0,0,0,2,0,501,124,0,0,0,0,4939,0
"zr1429.31",0,0,0,4521,118,0,0,0,0,5518,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,33,0,0,0,23,0,0,12,0,0,14882,0,133,0,0,0,0,10,1,0,0,0,15,0,0,112,463,830,11,495,845,0,59,0,0,0,0,0,0,0,3,202,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,667,86,0,33,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,1,0,0,1497,584,0,0,0,0,0,0,0,0,0,0,5037,2,31,0,0,113,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,2,0,0,11,2175,1112,69,0,1,1791,44,0,52,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,25,122,179,0,0,1,0,0,0,239,0,0,0,0,0,0,0,0,0,0,31,1,113,12,0,0,0,1875,0,0,0,0,0,0,0,0,0,302,0,202,0,5,0,28,0,0,0,0,0,0,0,79,130,1260,366,0,8,0,1966,0
"zr1429.32",0,0,0,4669,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,705,0,0,0,20,1842,0,0,0,0,0,20624,14,0,0,0,0,0,8,582,0,0,0,0,0,40,0,0,0,75,746,0,710,797,400,93,105,0,0,0,0,0,31,0,0,0,0,36,0,39,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,275,0,0,0,46,0,0,0,0,0,2,0,1,0,0,3309,1062,0,33,0,0,675,1319,0,1441,252,0,117,387,289,0,0,0,0,350,218,0,0,0,0,0,0,0,1874,0,0,152,0,0,0,0,1,0,0,0,385,0,0,0,0,58,0,0,0,0,0,386,0,1083,0,0,0,1,26,448,3,695,0,0,2,20,0,0,46,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,112,0,269,67,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,167,173,0,0,23,0,0,0,0,0,0,0,0,0,201,1243,10,0,0,0,696,0
"zr1429.33",0,4,0,2,0,0,0,0,0,5,1770,0,0,14,0,0,30,0,0,0,0,16,0,0,0,192,0,0,0,0,2,0,0,0,0,0,38198,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,6,0,37,0,0,0,1114,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,90,0,9,0,0,0,0,0,0,88,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,911,0,6667,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"zr1429.35",0,0,0,3703,0,0,0,0,12,0,704,0,0,0,0,0,0,0,0,7,0,285,0,0,0,255,0,0,0,3147,453,0,0,265,0,0,10281,0,0,2,0,0,0,1,0,2,0,0,0,0,0,27,0,0,12,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,912,0,446,0,0,0,0,1264,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,641,2935,0,15,16,0,0,0,0,0,0,0,0,0,0,0,31,4,36,0,483,9,13,5989,0,0,3,0,0,5,11,0,8,2,4,0,8,0,0,7,0,5,56,3,0,0,22,11,3,0,0,0,0,0,2,0,0,43,0,0,0,157,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,505,0,0,0,0,0,0,152,0,0,0,0,2,0,0,0,0,0,61,5,2211,0,0,0,0,0,0,0,2,0,0,80,0,0,0,0,2055,1500,0,11,0,38,0,0,0,0,0,0,1,1689,0,418,0,0,2600,4,3318,0
"zr1429.36",0,0,0,7265,0,0,0,0,0,387,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,19,0,0,0,0,4255,0,0,38,2,0,5573,0,81,0,33,0,0,5,32,0,0,0,0,0,0,359,0,30,315,137,18,7,273,152,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2939,0,0,0,0,54,0,0,3,0,0,0,61,13,0,0,0,0,1348,2,0,0,0,8932,2408,0,237,0,0,0,0,0,489,0,27,200,941,0,9,0,0,0,0,252,0,0,259,14,0,0,1,1097,0,0,513,0,0,0,82,1,108,294,56,1199,0,0,0,0,50,0,0,0,0,0,34,12,74,0,0,2,0,0,87,172,857,0,0,1,2364,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,12,3,0,0,0,0,0,22,2,0,89,0,0,1,9,0,115,0,26,0,0,10,0,0,1,0,0,338,4,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,17,114,1034,107,0,26,0,2,0,0,0,0,0,0,1,827,120,601,1,21,47,0,796,0
"zr1429.37",0,0,0,6704,0,0,0,0,0,0,2,0,0,0,0,0,219,0,0,0,0,0,0,0,0,91,1,0,0,0,688,0,0,1,0,0,1315,0,0,0,0,0,0,0,414,0,0,0,0,0,0,558,0,0,539,661,0,1441,14404,21,0,58,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,422,1,0,0,0,3868,4534,0,3,0,0,0,0,0,296,0,0,17,851,22,19,0,0,0,37,0,0,0,0,4,0,0,0,407,0,0,0,0,0,0,0,59,0,0,0,1073,0,0,0,0,0,0,0,0,0,0,208,0,72,0,0,0,0,113,131,79,3814,0,3,1,1089,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,114,16,105,90,0,0,0,0,0,1077,5,7,0,0,6,0,0,0,0,0,4,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,351,225,0,0,0,12,0,0,23,2,1,0,0,99,0,137,192,7,266,0,915,0
"zr1429.38",0,0,0,7522,6,0,59,0,0,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2953,0,0,0,0,0,331,0,0,0,0,0,0,2,164,0,0,0,0,0,0,192,3,0,43,663,0,485,3376,0,0,68,0,0,0,0,1,54,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,7,0,0,0,5819,6920,0,13,0,0,0,0,0,1624,0,0,795,741,103,119,0,0,0,76,257,0,0,0,91,0,0,0,1017,0,0,22,0,0,0,215,202,0,0,0,3451,0,0,0,0,0,0,0,0,0,0,154,17,574,0,0,0,0,11,565,127,2378,0,0,4,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,21,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,149,0,0,0,0,155,0,0,0,0,0,0,0,7,3,0,315,15,0,0,0,2,0,0,0,0,0,0,26,122,187,376,13,0,236,0,1510,2
"zr1429.39",0,0,0,2851,6,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,0,0,0,0,0,2557,0,0,0,0,0,0,1,54,0,12,0,0,0,0,355,0,2,24,1403,0,992,11315,50,0,47,14,0,0,0,0,51,0,0,11,0,0,0,0,0,0,0,0,0,0,23,0,0,634,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,804,0,0,0,0,4499,4781,0,11,0,0,0,0,0,788,0,0,349,525,14,0,0,0,0,0,144,0,0,0,155,0,0,0,453,0,0,168,0,0,0,1,42,0,0,0,1099,0,0,0,0,0,0,0,0,8,0,9,9,354,0,0,0,1,317,56,19,6062,0,2,0,808,0,0,0,0,0,0,0,0,0,0,0,0,43,28,0,0,0,0,0,0,0,0,0,30,5,62,1,0,0,0,0,0,98,0,0,0,0,7,0,42,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,841,67,0,0,0,0,0,0,0,0,0,0,0,51,264,706,152,6,1470,0,2598,0
"zr1429.41",0,0,0,7033,0,0,0,0,0,495,2400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,1,0,0,756,0,0,0,0,0,20,1,1,0,0,0,0,0,0,424,92,0,172,880,0,128,291,4,0,101,0,0,0,0,1,54,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,4623,0,0,0,0,0,0,0,22,0,0,0,864,0,10,0,0,0,1275,2,0,0,0,10791,1947,0,605,0,0,0,0,0,711,0,0,361,0,0,0,0,0,0,98,84,0,0,0,183,0,0,0,669,0,0,57,0,0,0,0,0,0,0,44,343,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,190,764,1004,0,1,1,2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,27,43,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,351,0,911,0,0,0,0,1190,0,0,0,0,0,3,0,0,47,0,2296,141,0,0,0,0,0,0,0,0,0,0,2,679,1903,132,0,0,43,0,197,1
"zr1429.42",0,0,0,4037,0,0,0,0,0,0,11531,0,0,10,0,0,0,0,0,0,0,0,0,0,1,305,61,0,0,0,0,20,0,0,0,0,18504,0,57,0,0,0,0,5,0,0,0,332,0,0,0,0,0,0,0,395,0,22,1513,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,43,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,105,0,0,0,0,4097,3281,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,168,0,0,0,0,0,0,0,251,0,0,0,0,0,0,145,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,47,420,570,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,161,0,0,0,0,0,0,476,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,9,0,0,0,0,0,18,297,190,61,0,1,0,0,0,0,0,0,34,0,665,53,0,0,0,0,0,1
"zr1429.44",0,0,0,202,0,0,0,0,0,0,305,27,0,0,0,0,0,0,3,4,101,0,0,0,0,131,5,0,23,0,191,0,593,0,0,1,42202,0,1,3,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,7,0,0,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,43,0,0,0,162,0,0,0,0,0,0,2,505,0,0,0,0,0,0,0,0,122,48,0,0,33,0,3689,583,0,30,0,0,0,10,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,7,0,43,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,134,15,0,0,0,0,0,1,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"zr1429.45",0,0,0,145,0,1,0,0,0,0,7368,0,0,0,0,0,0,0,6,0,0,0,96,2,0,589,98,0,0,0,969,0,1505,0,0,0,9629,759,0,5,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,171,243,4468,0,0,3,0,0,141,0,0,1538,0,0,0,67,0,15330,3213,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,305,0,0,0,120,0,0,169,0,0,0,0,0,0,0,0,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,272,0,455,0,109,0,0,83,32,0,0,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,5,56,13,0,0,1,0,0,502,0,0,0,685,0,0,0,0,0,0,160,1,0,4,0,0,0,0,3,0
"zr1429.48",0,0,0,2889,0,0,0,0,0,0,4646,128,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,749,0,0,1,0,0,7791,0,0,0,0,0,0,2,0,0,0,0,0,0,0,89,0,0,188,103,0,75,462,0,0,1,240,4,0,0,63,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3111,0,0,0,0,0,0,0,2567,0,0,0,14,0,0,0,0,2,0,0,0,0,0,8669,1295,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,29,268,0,0,0,2137,0,0,0,0,0,0,0,2,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,948,0,0,2,5339,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,396,369,535,0,0,0,0,0,595,0,0,0,0,1,0,0,0,0,0,26,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,671,246,0,11,0,0,0,0,0,0,0,0,1,708,819,699,0,0,0,0,519,0
